provision_id,manual_title,manual_year,chapter_number,chapter_title,section_number,section_title,page_number,paragraph_sequence,source_text_ar,normalized_rule_ar,rule_subject,rule_object,trigger,preconditions,required_conditions,prohibitions,exceptions,alternative_path,effect,failure_effect,responsible_actor,affected_actor,timing,duration,unit,formula,rounding_rule,evidence_level,interpretation_confidence,interpretation_status,notes
JEA-TM2025-CH03-P038-005,كتاب التعليمات الفنية,2025,3,المخططات الهندسية وتقارير استطلاع الموقع وفحوصات المواد وحماية الحفرية,6,استطلاع الموقع,38,005,"في حالة عدم تطابق تقرير استطلاع الموقع مع مخططات التصميم للأبنية المقترحة من حيث عدد الأبار أو الأعماق يتم اضافة الأبار المطلوبة حسب متطلبات كود استطلاع الموقع وتعليمات نقابة المهندسين بهذا الخصوص اما بالنسبة لفرق الأعماق فيعاد حفر بنر سبري او اكثر لمجموع الأعماق الزائدة وحسب كود استطلاع الموقع","للأبنية المقترحة: إذا لم يتطابق تقرير الاستطلاع مع المخططات في عدد الآبار أو الأعماق → إضافة آبار حسب الكود؛ فرق الأعماق → إعادة حفر بئر سبري أو أكثر لمجموع الأعماق الزائدة",office,exploration-shortfall-remediation,report-design-nonconformance-in-proposed-building,building-is-proposed-AND-report-does-not-match-design-drawings-in-well-count-or-depths,drill-additional-wells-per-code-and-additional-well-for-cumulative-depth-difference,none,none,none,exploration-brought-into-conformance,report-remains-non-conforming,office,office-and-survey-office,at-nonconformance-detection,,-,-,-,CALCULATION_RULE,HIGH,CONFIRMED,"CRITICAL: applies to PROPOSED buildings (SRV-001) — DIFFERENT rule from p.038-003 which applies to EXISTING (SRV-002). Executable if code cross-referenced."
JEA-TM2025-CH03-P040-001,كتاب التعليمات الفنية,2025,3,المخططات الهندسية وتقارير استطلاع الموقع وفحوصات المواد وحماية الحفرية,8,فحص المواد,40,001,"يطلب تقديم عقد فحص مواد من خلال مكتب فحص مواد مسجل لدى النقابة لجميع المشاريع الانشائية الخاضعة للاشراف الكلي وذلك عند تسجيل المهندس المقيم على المشروع","عقد فحص مواد من مكتب فحص مواد مسجل بالنقابة لجميع المشاريع الإنشائية تحت الإشراف الكلي؛ يتم عند تسجيل المهندس المقيم",office,materials-testing-contract,resident-engineer-registration,project-under-total-supervision-AND-resident-engineer-being-registered,submission-of-materials-testing-contract-from-JEA-registered-office,contract-from-non-registered-office,none,none,resident-engineer-registration-completes,resident-engineer-registration-blocked,office,materials-testing-office,at-resident-engineer-registration,,-,-,-,DOCUMENT_REQUIREMENT,HIGH,CONFIRMED,"Direct trigger for SRV-008 or SRV-009 contract flow. Currently: existing repo has SRV-008/009 but this contract requirement not tied to resident-engineer trigger."
JEA-TM2025-CH03-P040-002,كتاب التعليمات الفنية,2025,3,المخططات الهندسية وتقارير استطلاع الموقع وفحوصات المواد وحماية الحفرية,9,حماية الحفرية,40,002,"اعتماد الحد الأدنى لأتعاب التصميم (3.5 دينار) للمتر المربع من اعمال التدعيم","الحد الأدنى لأتعاب تصميم أعمال تدعيم الحفرية = 3.5 JOD / م²",office,excavation-shoring-design-fee,fee-calculation,design-of-excavation-shoring,fee-minimum-of-3.5-per-m2,none,none,none,fee-calculated,fee-below-minimum-rejected,office,office,at-fee-calculation,,JOD_per_m2,fee_per_m2=3.5_min,-,DIRECT,HIGH,CONFIRMED,"Executable fee rule for SRV-007 (excavation support design). Existing repo: ExcavationFeeSeeder applies 3.5 JOD/m². CONFIRMED alignment."
JEA-TM2025-CH03-P040-003,كتاب التعليمات الفنية,2025,3,المخططات الهندسية وتقارير استطلاع الموقع وفحوصات المواد وحماية الحفرية,9,حماية الحفرية,40,003,"اعتماد الحد الأدنى للدعم المكتبي للإشراف (2.5 دينار) للمتر المربع من اعمال التدعيم بالإضافة إلى رواتب الإشراف وحسب سلم رواتب","الحد الأدنى للدعم المكتبي لإشراف أعمال التدعيم = 2.5 JOD / م² + رواتب الإشراف",office,excavation-shoring-supervision-fee,fee-calculation,supervision-of-excavation-shoring,fee-minimum-of-2.5-per-m2-plus-supervision-salaries,none,none,none,supervision-fee-calculated,fee-below-minimum-rejected,office,office,at-fee-calculation,,JOD_per_m2,supervision_fee_per_m2=2.5_min+salaries,-,DIRECT,HIGH,CONFIRMED,"Executable. Supervision component of SRV-012."
JEA-TM2025-CH03-P040-004,كتاب التعليمات الفنية,2025,3,المخططات الهندسية وتقارير استطلاع الموقع وفحوصات المواد وحماية الحفرية,9,حماية الحفرية,40,004,"يتم استيفاء رسوم بدل اتعاب لجان التدقيق بقيمة (500 فلس) عن كل م² من المساحة المراد تدعيمها وبحد اقصى (5000) دينار بالإضافة للرسوم المحددة حسب النظام الداخلي","رسم بدل أتعاب لجان تدقيق التدعيم = 500 فلس / م² (بحد أقصى 5000 JOD) + رسوم النظام الداخلي",office,excavation-shoring-audit-fee,fee-calculation,supervision-committee-audit,fee-of-0.5-JOD-per-m2-shored-capped-at-5000-JOD,none,none,none,audit-fee-calculated,audit-fee-underpaid,office,JEA,at-audit-fee-calculation,,JOD,audit_fee=min(area_shored_m2*0.5, 5000)+bylaws_fees,-,DIRECT,HIGH,CONFIRMED,"Executable formula with explicit min-cap. SRV-007 / SRV-012 relevant."
JEA-TM2025-CH03-P041-001,كتاب التعليمات الفنية,2025,3,المخططات الهندسية وتقارير استطلاع الموقع وفحوصات المواد وحماية الحفرية,9,حماية الحفرية,41,001,"إيداع تأمينات مقدارها 2000 دينار الفا دينار من أجل التقيد بإعداد الدراسة والإشراف عليها عند التنفيذ و تعيين المهندس المشرف ويتم استعادة التأمينات المودعة بعد الانتهاء من اعمال التدعيم حسب الأصول","تأمينات 2000 JOD لضمان إعداد الدراسة والإشراف عند التنفيذ + تعيين المهندس المشرف؛ تُستعاد بعد الانتهاء",office,shoring-deposit,shoring-design-and-supervision-commitment,office-committing-to-shoring-design-and-supervision,deposit-of-2000-JOD-at-JEA,none,none,released-after-completion,application-progresses,deposit-not-paid,office,JEA,at-shoring-commitment,-,JOD,deposit=2000_JOD_fixed,-,DIRECT,HIGH,CONFIRMED,"Fixed deposit. Impacts SRV-007 / SRV-012 / FIN-005."
JEA-TM2025-CH03-P041-002,كتاب التعليمات الفنية,2025,3,المخططات الهندسية وتقارير استطلاع الموقع وفحوصات المواد وحماية الحفرية,9,حماية الحفرية,41,002,"يتطلب تعيين مهندس للاشراف على اعمال الحفريات العميقة للمشاريع ذات المساحة الاكبر من 10000م² وتعتمد توصية مكتب استطلاع الموقع بخصوص مدى الحاجة لمهندس اشراف متخصص لباقي المشاريع","تعيين مهندس إشراف على الحفريات العميقة إلزامي للمشاريع >10000م²؛ لباقي المشاريع يعتمد توصية مكتب الاستطلاع",office,supervising-engineer-appointment,area-threshold-or-recommendation,project-area-gt-10000_m2-OR-survey-office-recommends,appointment-of-specialized-supervising-engineer,none,area-le-10000-without-recommendation,none,supervision-arranged,unsupervised-execution,office,supervising-engineer,at-project-registration,,area,area_gt_10000_m2 OR survey_recommendation,-,DIRECT,HIGH,CONFIRMED,"Conditional appointment trigger. Large project = SRV-004 / DRW-P-005 territory. Also affects SRV-007/012."
JEA-TM2025-CH03-P043-001,كتاب التعليمات الفنية,2025,3,المخططات الهندسية وتقارير استطلاع الموقع وفحوصات المواد وحماية الحفرية,10,أماكن تدقيق المخططات الهندسية,43,001,"يتم تدقيق المشاريع في الاقسام الهندسية في الفروع حسب المساحات التالية (يذكر الجدول: عمان الزرقاء اربد لغاية 10000م² وأكثر تدقق في عمان مأدبا لغاية 3500م² السلط لغاية 3000م² الكرك لغاية 1500م² المفرق العقبة تقل عن 1000م² لغير مشاريع الزرقاء الطفيلة لغاية 500م² للأبنية المقترحة ولا يزيد عن 1000م² للأبنية القائمة جرش عجلون تقل عن 500م² في إربد)","تدقيق المشاريع في الفروع الهندسية بحدود مساحية: عمان/الزرقاء/إربد ≤10000م² وأكثر↑عمان؛ مأدبا ≤3500؛ السلط ≤3000؛ الكرك ≤1500؛ المفرق/العقبة <1000؛ الطفيلة ≤500 مقترح و ≤1000 قائم؛ جرش/عجلون <500 عبر إربد",office-and-JEA,plan-audit-routing,area-and-governorate-thresholds,project-area-and-governorate,route-to-appropriate-branch-per-area-caps,none,specialized-projects-in-Amman-regardless-of-area,none,project-routed-to-correct-branch,project-mis-routed,office,JEA,at-plan-submission,,area,see_source_text_for_matrix,-,ROUTING_RULE,HIGH,CONFIRMED,"CRITICAL ROUTING RULE: multi-governorate + multi-area routing table. Affects ALL DRW-P-* services. NOT currently modeled in schema. Cross-service impact: workflow.routing."
JEA-TM2025-CH03-P044-001,كتاب التعليمات الفنية,2025,3,المخططات الهندسية وتقارير استطلاع الموقع وفحوصات المواد وحماية الحفرية,13,المشاريع الكبرى والمشاريع المتخصصة,44,001,"المشاريع الكبرى هي المشاريع التي تزيد مساحاتها عن 25000 م² أو التي تزيد اعماق الأبار السبرية المطلوب حفرها عن 350 متر طولي أو التي يزيد ارتفاعها عن 15 طابقاً","تعريف المشروع الكبير: مساحة > 25000 م² OR أعماق آبار سبرية > 350 م.ط OR ارتفاع > 15 طابق (أي شرط منها)",office,large-project-classification,any-single-threshold-crossed,project-area-gt-25000_m2 OR survey_depths_gt_350_lm OR height_gt_15_floors,classified-as-large-project,none,none,none,large-project-workflow-applies,mis-classification,office,office-and-JEA,at-classification,,area/depth/floors,area>25000 OR depth>350 OR floors>15,-,DIRECT,HIGH,CONFIRMED,"CRITICAL: definition rule for DRW-P-005 + SRV-004. Executable classification. NOTE: floors>15 aligns with the exploration-matrix >15-floor cutoff on p.230-232."
JEA-TM2025-CH03-P044-002,كتاب التعليمات الفنية,2025,3,المخططات الهندسية وتقارير استطلاع الموقع وفحوصات المواد وحماية الحفرية,13,المشاريع الكبرى والمشاريع المتخصصة,44,002,"يجوز تسجيل مساحة المشروع على سنتين فقط (سنة التعاقد وسنة لاحقة) وفي حال لم تتوفر الحصص تحال للهيئة","مساحة المشروع تُسجَّل على سنتين (سنة التعاقد + سنة لاحقة)؛ إذا لم تتوفر الحصص → إحالة إلى الهيئة",office,large-project-quota-allocation,quota-shortage,large-project-classified-AND-office-quota-insufficient,split-registration-over-2-years-or-refer-to-authority,none,quota-sufficient-in-year-1,none,project-registration-proceeds,project-referral,office,office-and-authority,at-registration,-,-,-,-,DIRECT,HIGH,CONFIRMED,"Quota split rule. Cross-references JORD-67/70/71 quota infrastructure. Impacts capacity guard."
JEA-TM2025-CH03-P044-003,كتاب التعليمات الفنية,2025,3,المخططات الهندسية وتقارير استطلاع الموقع وفحوصات المواد وحماية الحفرية,13,المشاريع الكبرى والمشاريع المتخصصة,44,003,"تدقق المشاريع الكبرى من خلال لجان تدقيق خارجية","المشاريع الكبرى تُدقَّق من خلال لجان خارجية",JEA,external-audit-committee,large-project-audit,project-classified-as-large,route-to-external-audit-committee,internal-branch-audit,none,none,external-committee-audit-workflow,mis-routing,JEA,external-committee,at-audit,-,-,-,-,DIRECT,HIGH,CONFIRMED,"Workflow routing for DRW-P-005 + SRV-004."
JEA-TM2025-CH03-P044-004,كتاب التعليمات الفنية,2025,3,المخططات الهندسية وتقارير استطلاع الموقع وفحوصات المواد وحماية الحفرية,14,الاحتفاظ بالمخططات,44,004,"تلتزم المكاتب والشركات الهندسية عند قيامها بممارسة العمل الهندسي الاستشاري باعداد ملفات كاملة لمشاريعها يشتمل كل منها على (أصول المخططات وعقد المقاولة وبرنامج العمل ومتطلباته والمذكرات الحسابية والاحتفاظ بها لمدة لا تقل عن عشر سنوات بعد تصديقها من النقابة)","الاحتفاظ بأصول المخططات + عقد المقاولة + برنامج العمل + المتطلبات + المذكرات الحسابية لمدة ≥ 10 سنوات بعد التصديق",office,plan-retention,post-approval,plans-approved-by-JEA,retention-of-full-file-for-min-10-years-post-approval,premature-destruction,none,none,professional-liability-covered,liability-question,office,office,post-approval,10-years,year,-,-,-,POST_SUBMISSION_OBLIGATION,HIGH,CONFIRMED,"Long-term office obligation. Cannot be enforced electronically but should be surfaced as reviewer/office-guidance manual reference."
JEA-TM2025-CH03-P045-001,كتاب التعليمات الفنية,2025,3,المخططات الهندسية وتقارير استطلاع الموقع وفحوصات المواد وحماية الحفرية,15,ملكية الوثائق والمخططات,45,001,"ان جميع المخططات والتصاميم المعتمدة والمعلومات المتعلقة بهذا المشروع على شكل ملفات الكترونية قابلة للنسخ ليس التعديل هي ملك لصاحب العمل لغايات تنفيذ المشروع محل العقد فقط ولا يحق للاستشاري تزويد اية جهات اخرى بنسخ منها الا بأخذ موافقة صاحب العمل على ذلك ويحق للاستشاري استعمال بعض عناصر التصميم لغايات استخدامها في مشاريع اخرى كما لا يحق لصاحب العمل استعمال تلك التصاميم في مشاريع اخرى دون الحصول على موافقة الاستشاري الخطية","ملكية المخططات المعتمدة (نسخة إلكترونية غير قابلة للتعديل) = صاحب العمل لتنفيذ المشروع فقط؛ لا يجوز للاستشاري إعطاء الآخرين نسخ إلا بموافقة صاحب العمل؛ يجوز للاستشاري استخدام عناصر تصميم في مشاريع أخرى؛ لا يجوز لصاحب العمل استخدام التصاميم في مشاريع أخرى دون موافقة الاستشاري الخطية",office-and-owner,plan-ownership-and-usage,post-approval,plans-approved,ownership-goes-to-owner-for-this-project-only-and-office-may-reuse-design-elements-in-other-projects-and-owner-may-not-reuse-designs-without-office-written-approval,unauthorized-copy-distribution-by-office-or-unauthorized-reuse-by-owner,none,none,legal-baseline-for-plan-usage,legal-dispute,office-and-owner,third-parties,post-approval,,-,-,-,REFERENCE_ONLY,HIGH,CONFIRMED,"Legal / IP baseline. Not executable at electronic-service level. Surface as reviewer/office guidance only."
JEA-TM2025-CH07-P092-001,كتاب التعليمات الفنية,2025,7,الحد الأدنى للأتعاب + التوزيع + الرواتب + البدلات + الرسوم,1,الحد الأدنى للأتعاب الهندسية اعتباراً من 2005/6/1,92,001,"منطقة أمانة عمان الكبرى: التصميم — سكن أخضر + (أ +ب) تجاري بأنواعه: 3.5 دينار/م² تصميم + 3.5 دينار/م² متابعة إشراف؛ مباني خاصة: 5.000 دينار/م² تصميم + 5.000 إشراف؛ سكن (ج + د): 2.50 + 2.50؛ شعبي ريفي زراعي صناعات بأنواعها: 2.00 + 2.00","مصفوفة أتعاب التصميم/م² في أمانة عمان الكبرى: (سكن أخضر أو تجاري أ+ب: 3.5+3.5) (مباني خاصة: 5.000+5.000) (سكن ج+د: 2.50+2.50) (شعبي/ريفي/زراعي/صناعي: 2.00+2.00)",office,design-fee-matrix,fee-calculation,building-in-Amman-Greater-Municipality-AND-classified-as-one-of-4-categories,fee-per-m2-per-matrix-row,none,none,none,fee-calculated,mis-priced,office,office-and-JEA,at-fee-calculation,,JOD_per_m2,fee_per_m2=matrix[Amman][class]_design+matrix[Amman][class]_supervision,-,DIRECT,HIGH,CONFIRMED,"Origin of JORD-63. Existing repo: DrawingFeeMatrixSeeder implements this. VERIFIED: aligns with existing fee matrix on DRW-P-*. Case C verified: applies to DRW-P-* only, NOT to survey services."
JEA-TM2025-CH07-P092-002,كتاب التعليمات الفنية,2025,7,الحد الأدنى للأتعاب + التوزيع + الرواتب + البدلات + الرسوم,1,الحد الأدنى للأتعاب الهندسية اعتباراً من 2005/6/1,92,002,"باقي مناطق المملكة: سكن أخضر + (أ + ب) تجاري بأنواعه: 2.50 + 2.50؛ مباني خاصة: 4.000 + 4.000؛ سكن (ج + د): 2.00 + 2.00؛ شعبي ريفي زراعي صناعات بأنواعها: 1.50 + 1.50","مصفوفة أتعاب باقي المناطق: (سكن أخضر/تجاري أ+ب: 2.50+2.50) (مباني خاصة: 4.000+4.000) (سكن ج+د: 2.00+2.00) (شعبي/ريفي/زراعي/صناعي: 1.50+1.50)",office,design-fee-matrix-rest-of-kingdom,fee-calculation,building-outside-Amman-Greater-Municipality-AND-classified-as-one-of-4-categories,fee-per-m2-per-matrix-row,none,none,none,fee-calculated,mis-priced,office,office-and-JEA,at-fee-calculation,,JOD_per_m2,fee_per_m2=matrix[rest][class]_design+matrix[rest][class]_supervision,-,DIRECT,HIGH,CONFIRMED,"Second half of JORD-63 fee matrix. Existing DrawingFeeMatrixSeeder collapses 12 governorates → 2 zones (Amman + rest) which matches this."
JEA-TM2025-CH07-P092-003,كتاب التعليمات الفنية,2025,7,الحد الأدنى للأتعاب + التوزيع + الرواتب + البدلات + الرسوم,1,الحد الأدنى للأتعاب الهندسية اعتباراً من 2005/6/1,92,003,"تعامل الأبنية القائمة كالأبنية المقترحة من حيث الأتعاب","الأبنية القائمة تُعامَل كالمقترحة لغايات الأتعاب",office,existing-building-fee-treatment,fee-calculation,building-classified-as-existing,apply-same-matrix-as-proposed-buildings,none,none,none,fee-calculated,mis-priced,office,office,at-fee-calculation,,-,fee=proposed_fee,-,DIRECT,HIGH,CONFIRMED,"Fee-parity rule. Applies to DRW-P-002. Affects fee calculator input classification only."
JEA-TM2025-CH07-P092-004,كتاب التعليمات الفنية,2025,7,الحد الأدنى للأتعاب + التوزيع + الرواتب + البدلات + الرسوم,1,الحد الأدنى للأتعاب الهندسية اعتباراً من 2005/6/1,92,004,"تحديد الحد الادنى لأتعاب مشاريع الطاقة الشمسية 4 دنانير لكل كيلوواط للتصميم ومثلها للإشراف","الحد الأدنى لأتعاب مشاريع الطاقة الشمسية = 4 JOD / kW تصميم + مثله للإشراف",office,solar-project-fee,fee-calculation,solar-project,fee-per-kW-at-minimum-4-JOD,none,none,none,fee-calculated,mis-priced,office,office,at-fee-calculation,,JOD_per_kW,fee=capacity_kw*4_design+capacity_kw*4_supervision,-,DIRECT,HIGH,CONFIRMED,"Origin of JORD-64-solar. Existing repo: SolarFeeSeeder implements 4 JOD/kW on DRW-P-006. VERIFIED alignment."
JEA-TM2025-CH07-P093-001,كتاب التعليمات الفنية,2025,7,الحد الأدنى للأتعاب + التوزيع + الرواتب + البدلات + الرسوم,1,الحد الأدنى للأتعاب الهندسية اعتباراً من 2005/6/1,93,001,"الحد الأدنى لأتعاب استطلاع الموقع للأبنية المقترحة (20) ديناراً للمتر الطولي","الحد الأدنى لأتعاب استطلاع الموقع للأبنية المقترحة = 20 JOD / م.ط",survey-office,site-survey-office-fee,fee-calculation,site-survey-of-proposed-building,fee-per-linear-meter-at-minimum-20-JOD,none,none,none,fee-calculated,mis-priced,survey-office,owner,at-fee-calculation,,JOD_per_lm,fee=length_lm*20_min,-,DIRECT,HIGH,CONFIRMED,"CRITICAL DISCREPANCY: manual says minimum fee for SITE-SURVEY OFFICE = 20 JOD/lm. Existing repo SiteSurveyFeesSeeder uses 0.15 JOD/lm (=150 fils/lm). See p.096-002 which is the SEPARATE 150 fils/lm JEA syndicate practice fee. The 0.15 JOD/lm currently on SRV-001..006 is the WRONG rate. Should be 20 JOD/lm office fee + 0.15 JOD/lm syndicate practice fee as a surcharge."
JEA-TM2025-CH07-P096-001,كتاب التعليمات الفنية,2025,7,الحد الأدنى للأتعاب + التوزيع + الرواتب + البدلات + الرسوم,4,الرسوم تتقاضاها النقابة,96,001,"تستوفي النقابة (1%) رسم اتعاب من اجمالي الاتعاب الهندسية التي تتقاضاها المكاتب الهندسية الأردنية وغير الأردنية عن ممارستها الاعمال الهندسية المختلفة","النقابة تستوفي 1% كرسم أتعاب من إجمالي الأتعاب الهندسية للمكاتب",JEA,syndicate-1pct-surcharge,fee-collection,office-collecting-engineering-fees,collect-1-percent-of-total-engineering-fees,none,none,none,syndicate-fee-collected,syndicate-fee-uncollected,office,JEA,at-fee-collection,,percent,surcharge=total_engineering_fees*0.01,-,DIRECT,HIGH,CONFIRMED,"Origin of JORD-65 syndicate 1%. Existing repo: FeeSurchargesSeeder applies 1% syndicate surcharge on DRW-P-* and SRV-001..006. VERIFIED alignment."
JEA-TM2025-CH07-P096-002,كتاب التعليمات الفنية,2025,7,الحد الأدنى للأتعاب + التوزيع + الرواتب + البدلات + الرسوم,4,الرسوم تتقاضاها النقابة,96,002,"تستوفي النقابة رسم ممارسة مهنة عن تدقيق مخططات ودراسات الاستشارية وتصديقها مقداره (40) فلساً لكل متر مربع عن المخططات الهندسية و (150) فلساً لكل متر طولي عن اعمال استطلاع الموقع وفحص التربة","رسم ممارسة مهنة تستوفيه النقابة: 40 فلساً/م² للمخططات + 150 فلساً/م.ط للاستطلاع وفحص التربة",JEA,practice-fee-for-audit,plan-or-survey-audit,plan-audit-or-survey-audit,collect-40-fils-per-m2-for-plans-and-150-fils-per-lm-for-survey-and-soil,none,none,none,practice-fee-collected,practice-fee-uncollected,office,JEA,at-fee-calculation,,JOD_per_m2 or JOD_per_lm,practice_fee_plans=area_m2*0.04 practice_fee_survey=length_lm*0.15,-,DIRECT,HIGH,CONFIRMED,"CRITICAL: this is the 150 fils/lm fee currently used in SiteSurveyFeesSeeder as THE survey fee. Per the manual, this is actually the JEA PROFESSIONAL PRACTICE FEE (a surcharge collected BY JEA), not the OFFICE FEE (which is p.093-001 = 20 JOD/lm). Also: 40 fils/m² is the plans practice fee — currently seeded via FeeSurchargesSeeder as 40 fils/m² drawing review — VERIFIED alignment for the 40 fils side."
JEA-TM2025-BOOK2-P219-001,كتاب التعليمات الفنية,2025,,الباب الثاني — متطلبات الحد الأدنى للمخططات,,المتطلبات الفنية لتقرير فحص الموقع,219,001,"يجب أن يشتمل تقرير فحص الموقع وكما هو وارد في كود استطلاع الموقع من حيث التفاصيل (الباب 2 المادة 3 البنود من 1 إلى 10) على ما يلي كحد أدنى (المقدمة + وصف عام للموقع + وصف عام للمنطقة من الناحية الجيولوجية + الدراسات الميدانية + استخراج العينات + الفحوصات الميدانية + الفحوصات المخبرية + طبيعة المواد في الموقع + تحليل النتائج + الاستنتاجات والتوصيات)","تقرير فحص الموقع (الحد الأدنى) يشتمل على 11 قسماً: (1) المقدمة (2) وصف عام للموقع (3) وصف عام للمنطقة جيولوجياً (4) الدراسات الميدانية (5) استخراج العينات (6) الفحوصات الميدانية (7) الفحوصات المخبرية (8) طبيعة المواد في الموقع (9) تحليل النتائج (10) الاستنتاجات والتوصيات (11) الاستنتاجات والتوصيات + المتطلبات الزلزالية",survey-office,site-report-technical-content,report-preparation,report-being-prepared,report-includes-all-11-required-sections-plus-seismic-requirements,none,none,none,report-content-complete,report-rejected,survey-office,survey-office-and-JEA,at-report-preparation,,-,-,-,DOCUMENT_CONTENT_REQUIREMENT,HIGH,CONFIRMED,"Origin of JORD-90. Applies to site_investigation_report on SRV-001..006. Reviewer-verified content. Not applicant-entered."
JEA-TM2025-BOOK2-P230-001,كتاب التعليمات الفنية,2025,,الباب الثاني — متطلبات الحد الأدنى للمخططات,,احتساب اعماق الآبار السبرية وعددها — جدول (1),230,001,"للمشاريع التي يقل عدد الأدوار عن 15 طابقاً حسب الجدول رقم (1) كود استطلاع الموقع: الحد الأدنى لعدد وعمق نقاط الاستكشاف مقاسا من منسوب التأسيس — يعطي عدد النقاط ومجموع الأعماق الطولية لكل توليفة (عدد الطوابق × مساحة الطابق)","جدول (1) الحد الأدنى لعدد وأعماق نقاط الاستكشاف — للمشاريع بعدد أدوار < 15 طابقاً؛ يُدخل: (عدد الطوابق) + (مساحة الطابق م²) → يُخرج: عدد النقاط + مجموع الأعماق (م.ط)",survey-office,exploration-count-and-depth-matrix,project-classification,project-with-less-than-15-floors,lookup-from-matrix-per-floor-count-x-floor-area-band,none,special-study-for-cells-marked-دراسة-خاصة,none,minimum-count-and-depth-enforced,under-exploration,survey-office,survey-office-and-JEA,at-report-preparation,,points-and-lm,minimum_points=matrix[floors][area] minimum_depth_lm=matrix[floors][area],ROUNDING_UNRESOLVED_for_derived_calculations,DIRECT,HIGH,CONFIRMED,"Origin of JORD-91 + the ExplorationRequirementMatrix engine. Applies to SRV-001 (proposed buildings). p.230 covers floors ≤3, 4, 5. Rounding rule for derived integer values (e.g. 2/3 splits) NOT specified."
JEA-TM2025-BOOK2-P231-001,كتاب التعليمات الفنية,2025,,الباب الثاني — متطلبات الحد الأدنى للمخططات,,احتساب اعماق الآبار السبرية وعددها — جدول (1) تكملة,231,001,"يضاف متر طولي واحد لكل بئر سبري بدل عمق التأسيس","يُضاف 1 م.ط لكل بئر سبري كبدل عمق التأسيس",survey-office,foundation-depth-adjustment,drilling-execution,drilling-a-borehole,add-1-lm-per-borehole-for-foundation-depth-allowance,none,none,none,total-depth-adjusted,under-depth,survey-office,survey-office,at-drilling,,lm,total_depth=matrix_depth+1_per_borehole,-,DIRECT,HIGH,CONFIRMED,"Depth adjustment rule. Existing repo ExplorationRequirementMatrix does NOT currently apply this +1 lm/borehole adjustment. DISCREPANCY candidate."
JEA-TM2025-BOOK2-P231-002,كتاب التعليمات الفنية,2025,,الباب الثاني — متطلبات الحد الأدنى للمخططات,,احتساب اعماق الآبار السبرية وعددها,231,002,"إذا كانت مساحة الطابق 1201م² — 3000م² يضاف بئر سبري كل 300م² أو جزء منها","لمساحة الطابق 1201-3000م²: يُضاف بئر سبري كل 300م² أو جزء منها",survey-office,extra-borehole-per-area-band,area-in-band,floor_area between 1201 and 3000 m2,add-1-borehole-per-300-m2-or-part,none,none,none,extra-boreholes-added,under-exploration,survey-office,survey-office,at-drilling-planning,,boreholes,extra_boreholes=ceil((floor_area-1200)/300),CEILING_IMPLIED_BY_'أو جزء منها',DIRECT,HIGH,CONFIRMED,"CRITICAL: for area 1201-3000m², EXPLICIT increment rule. 'أو جزء منها' (or part thereof) explicitly implies CEILING for this specific increment. NOT the same as the 2/3 or 1/3 rounding on p.239 which lacks such phrasing."
JEA-TM2025-BOOK2-P231-003,كتاب التعليمات الفنية,2025,,الباب الثاني — متطلبات الحد الأدنى للمخططات,,احتساب اعماق الآبار السبرية وعددها,231,003,"اذا كانت مساحة الطابق 3001م² فما فوق يضاف بئر سبري كل 400م² أو جزء منها","لمساحة الطابق > 3001م²: يُضاف بئر سبري كل 400م² أو جزء منها",survey-office,extra-borehole-per-area-band,area-above-3000,floor_area>3000_m2,add-1-borehole-per-400-m2-or-part,none,none,none,extra-boreholes-added,under-exploration,survey-office,survey-office,at-drilling-planning,,boreholes,extra_boreholes=ceil((floor_area-3000)/400),CEILING_IMPLIED_BY_'أو جزء منها',DIRECT,HIGH,CONFIRMED,"Second-tier area increment rule. Same CEILING implication as p.231-002."
JEA-TM2025-BOOK2-P232-001,كتاب التعليمات الفنية,2025,,الباب الثاني — متطلبات الحد الأدنى للمخططات,,احتساب اعماق الآبار السبرية للمشاريع >15 طابق,232,001,"المشاريع التي يزيد عدد الأدوار فيها عن 15 طابقاً — طبقاً للمشاريع الخاصة والأبراج: يكون عمق الأبار السبرية حسب الجدول المرفق (يعطي جدولاً بعدد الطوابق مقابل عمق الاستكشاف الأدنى للنقاط الثلاث والثنائية)","للمشاريع > 15 طابق: عمق الأبار حسب جدول (16-19: 30/22 م، 20-24: 35/26، ...حتى 100-104: 102/76)",survey-office,exploration-depths-for-high-rise,high-rise-project,floor_count>15,lookup-depths-from-Book2-p232-high-rise-table,none,none,none,depths-set-per-table,mis-depth,survey-office,survey-office,at-report-preparation,,lm,depth=high_rise_table[floors_band][points_count],-,DIRECT,HIGH,CONFIRMED,"p.232 high-rise depths table — OUT OF PILOT SCOPE per SRV-001 scope. Currently ExplorationRequirementMatrix classifies floors>15 as SPECIAL_STUDY_REQUIRED which is safe but not the full implementation."
